Name,Price (BDT),Shop,Link
ZOTAC GeForce GTX 1630 4GB GDDR6 GAMING Graphics Card,18500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/zotac-geforce-gtx-1630-4gb-gddr60gaming-graphics-card
PNY GeForce GTX 1650 Dual-Fan 4GB GDDR6 Graphics Card,18900,StarTech,https://www.startech.com.bd/pny-gtx-1650-dual-fan-4gb-graphics-card
COLORFUL GEFORCE GTX 1650 NB 4GD6-V GRAPHICS CARD,18999,TechLand,https://www.techlandbd.com/colorful-geforce-gtx-1650-nb-4gd6-v-graphics-card
Asus Phoenix GeForce GTX 1630 4GB GDDR6 Graphics Card,19000,StarTech,https://www.startech.com.bd/asus-phoenix-geforce-gtx-1630-4gb-graphics-card
MSI RADEON RX 6400 AERO ITX 4G GDDR6 GRAPHICS CARD,19000,TechLand,https://www.techlandbd.com/msi-radeon-rx-6400-aero-itx-4g-gddr6-graphics-card
ASUS PHOENIX GEFORCE GTX 1630 4GB GDDR6 GRAPHICS CARD,19500,TechLand,https://www.techlandbd.com/asus-phoenix-gtx-1630-4gb-graphics-card
MSI GeForce GTX 1050 Ti 4GT OCV1 4GB GDDR5 Graphics Card,19800,StarTech,https://www.startech.com.bd/msi-geforce-gtx-1050-ti-4gt-ocv1-graphics-card
GIGABYTE GEFORCE GTX 1050 TI D5 4G GDDR5 GRAPHICS CARD,19800,TechLand,https://www.techlandbd.com/gigabyte-geforce-gtx-1050-ti-d5-4g-graphics-card
ASRock Intel Arc A380 Challenger ITX 6GB OC GDDR6 Graphics Card,19900,StarTech,https://www.startech.com.bd/asrock-intel-arc-a380-challenger-itx-6gb-oc-graphics-card
ASRock Intel Arc A380 Challenger ITX 6GB OC Graphics Card,19999,TechLand,https://www.techlandbd.com/asrock-intel-arc-a380-challenger-itx-6gb-graphics-card
Colorful GeForce GTX 1650 NB DDR6 4GB-V Graphics Card,20000,StarTech,https://www.startech.com.bd/colorful-geforce-gtx-1650-nb-4gb-v-graphics-card
ASUS TUF Gaming GeForce GTX 1630 4GB GDDR6 Graphics Card,20000,StarTech,https://www.startech.com.bd/asus-tuf-gaming-geforce-gtx-1630-4gb-graphics-card
NVIDIA QUADRO P620 2 GB GDDR5 GRAPHICS CARD,20000,TechLand,https://www.techlandbd.com/nvidia-quadro-p620-2gb-graphics-card
MSI GeForce GTX 1630 VENTUS XS 4GB OC GDDR6 Graphics Card,20400,StarTech,https://www.startech.com.bd/msi-geforce-gtx-1630-ventus-xs-4g-oc-graphics-card
MSI GEFORCE GTX 1630 VENTUS XS 4G OC GRAPHICS CARD,20500,TechLand,https://www.techlandbd.com/msi-geforce-gtx-1630-ventus-xs-4g-oc-graphics-card
Gigabyte GeForce GTX 1630 OC 4G Graphics Card,20800,TechLand,https://www.techlandbd.com/gigabyte-geforce-gtx-1630-oc-4g-graphics-card
Palit GeForce GTX 1050 Ti StormX 4GB GDDR5 Graphics Card,20800,TechLand,https://www.techlandbd.com/palit-gtx-1050-ti-stormx-graphics-card
MSI GeForce GTX 1630 VENTUS XS 4GB OC GDDR6 Graphics Card,21000,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/msi-geforce-gtx-1630-ventus-xs-4g-oc-graphics-card
ASUS TUF GAMING GEFORCE GTX 1630 4GB GDDR6 GRAPHICS CARD,21200,TechLand,https://www.techlandbd.com/asus-tuf-gaming-geforce-gtx-1630-4gb-graphics-cards
GIGABYTE GEFORCE GTX 1650 OC LOW PROFILE 4G GDDR5 GRAPHICS CARD,21299,TechLand,https://www.techlandbd.com/gigabyte-geforce-gtx-1650-oc-low-profile-graphics-card
GIGABYTE GeForce GTX 1650 OC Low Profile 4GB GDDR5 Graphics Card,21499,StarTech,https://www.startech.com.bd/gigabyte-geforce-gtx-1650-oc-low-profile-4gb-graphics-card
ASUS TUF Gaming GeForce GTX 1630 OC Edition 4GB GDDR6 Graphics Card,21600,StarTech,https://www.startech.com.bd/asus-tuf-gaming-geforce-gtx-1630-oc-edition-4gb-graphics-card
ASUS Phoenix GeForce GTX 1650 4GB GDDR5 Graphics Card,21600,StarTech,https://www.startech.com.bd/asus-phoenix-geforce-gtx-1650-4gb-graphics-card
MSI GeForce GTX 1650 VENTUS XS 4G OC Graphics Card,21990,StarTech,https://www.startech.com.bd/msi-geforce-gtx-1650-ventus-xs-4g-oc-graphics-card
MSI GeForce GTX 1650 VENTUS XS OC 4GB Graphics Card,21999,TechLand,https://www.techlandbd.com/msi-geforce-gtx-1650-ventus-xs-4g-oc
Inno3D GeForce GTX 1050 Ti X2 4GB GDDR5 Graphics Card,22000,TechLand,https://www.techlandbd.com/Inno3d-gtx-1050ti-4gb-graphics-card
Asus Phoenix GeForce GTX 1050Ti 4GB GDDR5 Graphics Card,22400,StarTech,https://www.startech.com.bd/asus-phoenix-gtx-1050ti-4gb-graphics-card
MSI GeForce GTX 1650 VENTUS XS 4GB OCV1 Graphics Card,22500,StarTech,https://www.startech.com.bd/msi-geforce-gtx-1650-ventus-xs-4g-ocv1-graphics-card
GIGABYTE GeForce GTX 1650 D6 OC Low Profile 4GB GDDR6 Graphics Card,22500,StarTech,https://www.startech.com.bd/gigabyte-gtx-1650-d6-oc-low-profile-4gb-graphics-card
GIGABYTE Radeon RX 6400 EAGLE 4GB GDDR6 Graphics Card,22500,StarTech,https://www.startech.com.bd/gigabyte-radeon-rx-6400-eagle-4g-graphics-card
ASUS Phoenix GeForce GTX 1050 Ti 4GB Graphics Card,22500,TechLand,https://www.techlandbd.com/asus-gtx-1050-ti-4gb-graphics-card
SAPPHIRE PULSE Radeon RX 6500XT Gaming OC 4GB GDDR6 Graphics Card,22500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/sapphire-pulse-radeon-rx-6500-xt-gaming-oc-graphics-card
MSI GeForce GTX 1650 VENTUS XS OC 4GB GDDR5 Graphics Card,22500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/msi-geforce-gtx-1650-ventus-xs-4g-oc-graphics-card
ASUS Dual GeForce GTX 1650 4GB GDDR5 Graphics Card,22900,StarTech,https://www.startech.com.bd/asus-dual-geforce-gtx-1650-4gb-graphics-card
GALAX GeForce GTX 1660 (1-Click OC) 6GB GDDR5 192-bit Graphics Card,23500,StarTech,https://www.startech.com.bd/galax-gtx-1660-6gb-ddr5-graphics-card
ASUS GeForce GTX 1650 Dual OC Edition 4GB GDDR5 Graphics Card,23500,TechLand,https://www.techlandbd.com/asus-gtx-1650-dual-oc-4gb-graphics-card
Asus Cerberus GeForce GTX 1050 Ti OC Edition 4GB GDDR5 Graphics Card,24200,StarTech,https://www.startech.com.bd/asus-cerberus-gtx-1050ti-o4g-graphics-card
ASUS Cerberus GeForce GTX 1050 Ti OC Edition 4GB Graphics Card,24500,TechLand,https://www.techlandbd.com/asus-cerberus-gtx-1050-ti-oc-4gb-graphics-card
Huananzhi GeForce GTX 1050TI 4G Graphics Card,25000,TechLand,https://www.techlandbd.com/huananzhi-gtx-1050ti-4g-graphics-card
Galax GeForce GTX 1660 Super EX (1-Click OC) 6GB GDDR6 192-bit Graphics Card,25500,StarTech,https://www.startech.com.bd/galax-geforce-gtx-1660-super-ex-6gb-graphics-card
ASUS Phoenix GeForce GTX 1650 OC Edition 4GB GDDR5 Graphics Card,26000,StarTech,https://www.startech.com.bd/asus-phoenix-geforce-gtx-1650-oc-graphics-card
Leadtek WinFast GTX 1650 D6 4G Graphics Card,28000,TechLand,https://www.techlandbd.com/leadtek-winfast-gtx-1650-d6-4g-graphics-card
PNY GeForce GTX 1660 Ti 6GB Dual Fan XLR8 Gaming Overclocked Edition GDDR6 Graphics Card,28499,StarTech,https://www.startech.com.bd/pny-geforce-gtx-1660-ti-6gb-dual-fan-graphics-card
MSI GEFORCE GTX 1660 SUPER VENTUS XS OC GRAPHICS CARD,28800,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/MSI-GEFORCE-GTX-1660-SUPER-VENTUS-XS-GRAPHICS-CARD
Colorful GeForce GTX 1660 SUPER NB 6GB V2-V GDDR6 Graphics Card,28999,StarTech,https://www.startech.com.bd/colorful-geforce-gtx-1660-super-nb-6gb-v2-v-graphics-card
EVGA GEFORCE GTX 1660 SUPER SC ULTRA 6GB GDDR6 GAMING GRAPHICS CARD,29499,TechLand,https://www.techlandbd.com/evga-geforce-gtx-1660-super-sc-ultra-gaming-6gb-graphics-card
GIGABYTE NVIDIA GEFORCE RTX 3050 8GB WINDFORCE OC TWIN FAN GDDR6 GRAPHICS CARD,31800,TechLand,https://www.techlandbd.com/gigabyte-nvidia-geforce-rtx-3050-graphics-card
GIGABYTE GeForce RTX 3050 WINDFORCE OC 8GB GDDR6 Graphics Card,31850,StarTech,https://www.startech.com.bd/gigabyte-geforce-rtx-3050-windforce-oc-8g-graphics-card
PNY GeForce RTX 3050 8GB UPRISING Dual Fan GDDR6 Graphics Card,31999,StarTech,https://www.startech.com.bd/pny-geforce-rtx-3050-8gb-uprising-dual-fan-graphics-card
SAPPHIRE PULSE AMD RADEON RX 6500 XT 8GB OC GDDR6 GRAPHICS CARD,32000,TechLand,https://www.techlandbd.com/sapphire-pulse-amd-radeon-rx-6500-xt-8gb-oc-graphics-card
Palit GeForce GTX 1660 Ti DUAL 6GB GDDR6 Graphics Card,32500,TechLand,https://www.techlandbd.com/palit-geforce-gtx-1660-ti-dual-6gb-gddr6-graphics-card
SAPPHIRE PULSE Radeon RX 6500XT OC 8GB GDDR6 Graphics Card,33000,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/sapphire-pulse-radeon-rx-6500xt-oc-8gb-gddr6-graphics-card
ZOTAC GAMING GeForce RTX 3050 Solo 8GB GDDR6 Graphics Card,33500,StarTech,https://www.startech.com.bd/zotac-gaming-geforce-rtx-3050-solo-graphics-card
ZOTAC GAMING GEFORCE RTX 3050 SOLO 8GB GDDR6 GRAPHICS CARD,33500,TechLand,https://www.techlandbd.com/zotac-gaming-geforce-rtx-3050-solo-graphics-card
PALIT GEFORCE GTX 1660 SUPER GP 6GB GRAPHICS CARD,33500,TechLand,https://www.techlandbd.com/palit-geforce-gtx-1660-super-gp-6gb-graphics-card
Gigabyte GeForce RTX 3050 EAGLE OC 8G 8GB GAMING Graphics Card,33799,TechLand,https://www.techlandbd.com/gigabyte-geforce-rtx-3050-eagle-oc-8g-8gb-gaming-graphics-card
GIGABYTE GeForce RTX 3050 EAGLE OC 8GB GDDR6 Graphics Card,33900,StarTech,https://www.startech.com.bd/gigabyte-geforce-rtx-3050-eagle-oc-8gb-graphics-card
Intel Arc A750 Limited Edition 8GB GDDR6 Graphics Card,33999,StarTech,https://www.startech.com.bd/intel-arc-a750-limited-edition-graphics-card
INTEL ARC A750 8 GB GDDR6 GRAPHICS CARD,33999,TechLand,https://www.techlandbd.com/intel-arc-a750-8-gb-gddr6-graphics-card
GIGABYTE GeForce GTX 1660 OC 6GB GDDR5 Graphics Card,34500,StarTech,https://www.startech.com.bd/gigabyte-geforce-gtx-1660-oc-6gb-graphics-card
GIGABYTE GeForce RTX 3050 Gaming OC 8GB GDDR6 Graphics Card,34500,StarTech,https://www.startech.com.bd/gigabyte-geforce-rtx-3050-gaming-oc-8gb-graphics-card
Gigabyte GeForce GTX 1660 OC 6G Graphics Card,34500,TechLand,https://www.techlandbd.com/gigabyte-gtx-1660oc-6g-graphics-card
Gigabyte GeForce RTX 3050 GAMING OC 8 GB Graphics Card,34500,TechLand,https://www.techlandbd.com/gigabyte-geforce-rtx-3050-graphics-card
