Name,Price (BDT),Shop,Link
OCPC RX 580 16GB GDDR5 GRAPHICS CARD,15499,TechLand,https://www.techlandbd.com/ocpc-rx-580-16gb-gddr5-graphics-card
GUNNIR INTEL ARC A380 PHOTON 6G OC 6GB GDDR6 GAMING GRAPHICS CARD,15500,TechLand,https://www.techlandbd.com/intel-arc-a380-photon-6g-oc
AFOX Radeon RX 550 4GB GDDR5 Dual Fan Graphics Card,16200,StarTech,https://www.startech.com.bd/afox-radeon-rx-550-4gb-dual-fan-graphics-card
GUNNIR Intel Arc A380 Photon 6G OC GDDR6 Graphics Card,16499,StarTech,https://www.startech.com.bd/gunnir-intel-arc-a380-photon-6g-oc-graphics-card
SPARKLE Intel Arc A380 ELF 6GB GDDR6 Graphics Card,16500,StarTech,https://www.startech.com.bd/sparkle-intel-arc-a380-elf-6gb-gddr6-graphics-card
GIGABYTE ARC A310 WINDFORCE 4GB GDDR6 GRAPHICS CARD,17000,TechLand,https://www.techlandbd.com/gigabyte-arc-a310-windforce-4gb-gddr6-graphics-card
MSI GEFORCE® GTX 1050 TI OC 4GB Graphics Card,17200,TechLand,https://www.techlandbd.com/msi-geforce-gtx1050ti-4gt-oc-graphics-card
GIGABYTE Intel Arc A310 WINDFORCE 4G GDDR6 Graphics Card,17500,StarTech,https://www.startech.com.bd/gigabyte-intel-arc-a310-windforce-4g-graphics-card
PNY GEFORCE GTX 1650 4GB DUAL FAN LOW PROFILE GRAPHICS CARD,17800,TechLand,https://www.techlandbd.com/pny-gtx-1650-4gb-dual-fan-graphics-card
PNY GeForce GTX 1650 4GB GDDR6 Dual Fan GDDR6 Graphics Card,18399,StarTech,https://www.startech.com.bd/pny-geforce-gtx-1650-4gb-gddr6-dual-fan-graphics-card
ASUS PHOENIX GEFORCE GTX 1630 4GB GDDR6 GRAPHICS CARD,18500,TechLand,https://www.techlandbd.com/asus-phoenix-gtx-1630-4gb-graphics-card
MSI GeForce GTX 1650 D6 VENTUS XS OCV3 4GB GDDR6 Graphics Card,18500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/MSI-GeForce-GTX-1650-D6-VENTUS-XS-OCV3-4GB-GDDR6-Graphics-Card
MSI GEFORCE GTX 1630 VENTUS XS 4G OC GRAPHICS CARD,18800,TechLand,https://www.techlandbd.com/msi-geforce-gtx-1630-ventus-xs-4g-oc-graphics-card
MSI RADEON RX 6400 AERO ITX 4G GDDR6 GRAPHICS CARD,19000,TechLand,https://www.techlandbd.com/msi-radeon-rx-6400-aero-itx-4g-gddr6-graphics-card
MSI GEFORCE GTX 1650 D6 VENTUS XS OCV3 4GB GRAPHICS CARD,19000,TechLand,https://www.techlandbd.com/msi-geforce-gtx-1650-d6-ventus-gpu
Colorful GeForce GTX 1650 NB 4GD6 V3-V 4GB GDDR6 Graphics Card,19499,StarTech,https://www.startech.com.bd/colorful-geforce-gtx-1650-nb-4gd6-v3-v-graphics-card
COLORFUL GEFORCE GTX 1650 NB 4GD6-V GRAPHICS CARD,19499,TechLand,https://www.techlandbd.com/colorful-geforce-gtx-1650-nb-4gd6-v-graphics-card
Zotac Gaming GeForce GTX 1650 AMP Core 4GB GDDR6 Graphics Card,19500,StarTech,https://www.startech.com.bd/zotac-gaming-gtx-1650-amp-graphics-card
ZOTAC GAMING GEFORCE GTX 1650 AMP CORE 4GB GDDR6 GRAPHICS CARD,19500,TechLand,https://www.techlandbd.com/zotac-gaming-geforce-gtx-1650-graphics-card
GIGABYTE GEFORCE GTX 1050 TI D5 4G GDDR5 GRAPHICS CARD,19800,TechLand,https://www.techlandbd.com/gigabyte-geforce-gtx-1050-ti-d5-4g-graphics-card
Zotac Gaming GeForce GTX 1650 AMP Core 4GB GDDR6 Graphics Card,19900,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/zotac-gaming-geforce-gtx-1650-amp-core-4gb-gddr6-graphics-card
NVIDIA QUADRO P620 2 GB GDDR5 GRAPHICS CARD,20000,TechLand,https://www.techlandbd.com/nvidia-quadro-p620-2gb-graphics-card
MSI GeForce GTX 1650 D6 Ventus XS OC 4GB Graphics Card,20000,TechLand,https://www.techlandbd.com/msi-gtx-1650-d6-ventus-xs-ocv2-4gb-graphics-card
ASUS Phoenix GeForce GTX 1050 Ti 4GB Graphics Card,20000,TechLand,https://www.techlandbd.com/asus-gtx-1050-ti-4gb-graphics-card
MSI GeForce GTX 1650 D6 Ventus XS OCV3 4GB GDDR6 Graphics Card,20500,StarTech,https://www.startech.com.bd/msi-geforce-gtx-1650-d6-ventus-xs-ocv3-graphics-card
GIGABYTE GEFORCE GTX 1650 D6 OC LOW PROFILE 4G GRAPHICS CARD,20500,TechLand,https://www.techlandbd.com/gigabyte-geforce-gtx-1650-d6-oc-low-profile-4g-graphics-card
Gigabyte GeForce GTX 1630 OC 4G Graphics Card,20800,TechLand,https://www.techlandbd.com/gigabyte-geforce-gtx-1630-oc-4g-graphics-card
Palit GeForce GTX 1050 Ti StormX 4GB GDDR5 Graphics Card,20800,TechLand,https://www.techlandbd.com/palit-gtx-1050-ti-stormx-graphics-card
GIGABYTE GEFORCE GTX 1650 OC LOW PROFILE 4G GDDR5 GRAPHICS CARD,20999,TechLand,https://www.techlandbd.com/gigabyte-geforce-gtx-1650-oc-low-profile-graphics-card
GIGABYTE GEFORCE GTX 1650 D6 OC 4G GRAPHICS CARD,21000,TechLand,https://www.techlandbd.com/gigabyte-geforce-gtx-1650-d6-oc-4g-graphics-card
GIGABYTE GeForce GTX 1650 D6 OC 4GB Graphics Card,21200,StarTech,https://www.startech.com.bd/gigabyte-gtx-1650-d6-oc-4gb-graphics-card
GIGABYTE GeForce GTX 1650 D6 4G GDDR6 Graphics Card,21200,StarTech,https://www.startech.com.bd/gigabyte-geforce-gtx-1650-d6-4g-graphics-card
Gigabyte GeForce GTX 1650 D6 WINDFORCE OC 4G Graphics Card,21500,TechLand,https://www.techlandbd.com/gigabyte-gtx-1650-windforce-oc-4gb-graphics-card
PELADN RX 5600 6GB GDDR6 GRAPHIC CARD,21500,TechLand,https://www.techlandbd.com/peladn-rx-5600-6gb-gddr6-graphic-card
ASUS Phoenix GeForce GTX 1650 4GB GDDR5 Graphics Card,21600,StarTech,https://www.startech.com.bd/asus-phoenix-geforce-gtx-1650-4gb-graphics-card
GIGABYTE ARC A380 WINDFORCE OC 6GB GDDR6 GRAPHICS CARD,21800,TechLand,https://www.techlandbd.com/gigabyte-arc-a380-windforce-oc-6gb-gddr6-gpu
Gigabyte GeForce GTX 1650 D6 WINDFORCE OC 4G Graphics Card,22000,StarTech,https://www.startech.com.bd/gigabyte-gtx-1650-windforce-oc-4gb-graphics-card
GIGABYTE Intel Arc A380 WINDFORCE OC 6G GDDR6 Graphics Card,22000,StarTech,https://www.startech.com.bd/gigabyte-intel-arc-a380-windforce-oc-6g-graphics-card
ASUS Cerberus GeForce GTX 1050 Ti OC Edition 4GB Graphics Card,22000,TechLand,https://www.techlandbd.com/asus-cerberus-gtx-1050-ti-oc-4gb-graphics-card
PELADN RX 6500 XT 8G ARMOUR Navi GDDR6 Dual Fans Gaming Graphics Card,22300,StarTech,https://www.startech.com.bd/peladn-rx-6500-xt-8g-armour-graphics-card
PELADN RX 6500 XT 8G ARMOUR Navi GDDR6 Gaming Graphics Card,22300,TechLand,https://www.techlandbd.com/peladn-rx-6500-xt-8g-armour-navi-gddr6-gpu
PELADN RX 5600 6G Dual Fans Gaming White Graphics Card,22400,StarTech,https://www.startech.com.bd/peladn-rx-5600-6g-gaming-graphics-card
PELADN GTX 1660 Ti 6G GDDR6 Black Dual Fan Gaming Graphics Card,22500,StarTech,https://www.startech.com.bd/peladn-gtx-1660-ti-6g-black-gaming-graphics-card
PELADN GTX 1660 Ti 6G GDDR6 Dual Fan Gaming Graphics Card,23200,StarTech,https://www.startech.com.bd/peladn-gtx-1660-ti-6g-gaming-graphics-card
GUNNIR ARC A580 8GB INDEX GRAPHICS CARD,23500,TechLand,https://www.techlandbd.com/gunnir-arc-a580-8gb-index-graphics-card
OCPC GTX 1660 SUPER XE 6GB GDDR6 GRAPHICS CARD,23500,TechLand,https://www.techlandbd.com/ocpc-gtx-1660-super-xe-6gb-gddr6-graphics-card
ASUS Dual GeForce GTX 1650 V2 OC Edition 4GB GDDR6 Graphics Card,23800,StarTech,https://www.startech.com.bd/asus-dual-geforce-gtx-1650-v2-oc-edition-4gb-graphics-card
PELADN GTX 1660 TI 6G GDDR6 192BIT DUAL FANS GAMING GRAPHICS CARD,23999,TechLand,https://www.techlandbd.com/peladn-gtx-1660-ti-6g-gddr6-gaming-graphics
Biostar Radeon RX580 8GB GDDR5 Dual Cooling Gaming Graphic Card,24999,TechLand,https://www.techlandbd.com/biostar-radeon-rx580-graphic-card
GIGABYTE Intel Arc A380 GAMING OC 6G GDDR6 Graphics Card,25000,StarTech,https://www.startech.com.bd/gigabyte-intel-arc-a380-gaming-oc-6g-graphics-card
Huananzhi GeForce GTX 1050TI 4G Graphics Card,25000,TechLand,https://www.techlandbd.com/huananzhi-gtx-1050ti-4g-graphics-card
ASUS GeForce GTX 1650 Dual OC Edition 4GB GDDR5 Graphics Card,26800,TechLand,https://www.techlandbd.com/asus-gtx-1650-dual-oc-4gb-graphics-card
Sapphire Pulse AMD Radeon RX 6600 8GB GDDR6 Graphics Card,27499,StarTech,https://www.startech.com.bd/sapphire-pulse-amd-radeon-rx-6600-graphics-card
Sapphire PULSE AMD Radeon RX 6600 8GB Gaming Graphics Card,27499,TechLand,https://www.techlandbd.com/sapphire-pulse-rx-6600-graphics-card
GUNNIR INTEL ARC A750 PHOTON 8G OC W GRAPHICS CARD,27500,TechLand,https://www.techlandbd.com/gunnir-intel-arc-a750-photon-8g-oc-w-graphics-card
GUNNIR INTEL ARC A750 PHOTON 8G OC GRAPHICS CARD,27500,TechLand,https://www.techlandbd.com/gunnir-intel-arc-a750-photon-8g-oc-graphics-card
GUNNIR Intel Arc A750 Photon 8G OC GDDR6 Graphics Card,27900,StarTech,https://www.startech.com.bd/gunnir-intel-arc-a750-photon-8g-oc-graphics-card
Leadtek WinFast GTX 1650 D6 4G Graphics Card,28000,TechLand,https://www.techlandbd.com/leadtek-winfast-gtx-1650-d6-4g-graphics-card
